date,FOOD,BEVERAGES_AND_TOBACCO,CRUDE_MATERIALS_INEDIBLE,MINERAL_FUELS_LUBRICANTS_ETC,ANIMAL_AND_VEGETABLE_OILS_AND_FATS,CHEMICALS,MANUFACTURED_GOODS,MACHINERY__TRANSPORT_EQUIPMENT,MISCELLANEOUS_MANUFACTURED_ARTICLES,MISCELLANEOUS_TRANSACTIONS_AND_COMMODITIES,total_import
2009-12-01,2400499163,216529783,1690590279,3428289811,568658748,3786788536,4951364155,22127927848,2617841857,724285645,42512775825
2010-01-01,2600360909,200326990,1356116210,3471515814,655845094,3671733127,4898690669,19538777690,2288100277,764467223,39445934003
2010-02-01,2007992743,199883874,1310400864,2848740577,480416318,3305567759,4361740963,17948256494,2030672830,611191447,35104863869
2010-03-01,2434839846,189487189,1520990363,4863973744,384365606,4488107620,5507684424,21925750782,2665434261,1080900527,45061534362
2010-04-01,2632139078,191668081,1682474472,3251298656,581284794,4247419686,5406198514,21355133699,2491922507,867318950,42706858437
2010-05-01,2364721326,157885275,1670364113,4589282137,546588639,3944826601,5681803725,22022077183,2443981682,672309098,44093839779
2010-06-01,2642802492,160932454,1961483303,3930874036,469734524,4586963154,6206742499,23197679416,2823831636,762668340,46743711854
2010-07-01,2780054059,181641044,1840210362,5480261846,558249303,4094186317,5871119861,23819393524,2852476567,908542271,48386135154
2010-08-01,2390701900,158029724,1654611039,3817663671,711867162,4014161527,5156338019,22855595336,2806284887,957659332,44522912597
2010-09-01,2448625743,156656195,1573019282,4548724925,583670558,3769462338,5337241461,21562298111,2823433097,659566832,43462698542
2010-10-01,2315749432,260449782,1560491320,6694415258,604514126,3834012624,5358558564,23712134875,3049286450,733717943,48123330374
2010-11-01,2792803926,196405909,1543267903,4144819564,741963292,3764464511,5764313430,21104782023,2787082225,859868470,43699771253
2010-12-01,2841968556,301875725,1770847100,5048982575,890242252,4139045408,6002795065,22549233953,3012661895,918940584,47476593113
2011-01-01,2715166128,168633115,1858087476,4918914316,1445520387,4139867522,5900538211,20054259292,2782645384,920369662,44904001493
2011-02-01,2237860949,169005166,1397719838,4192271866,1473054881,3678791951,5073422686,17861703506,2245723664,903006364,39232560871
2011-03-01,2670584894,272954047,2241099405,7193722220,837854507,4956608537,6545095967,21941631300,2925594824,1059871032,50645016733
2011-04-01,2946477668,271652266,1983263928,5366149361,653816779,4789076562,6771958909,20297634374,2803828602,893965664,46777824113
2011-05-01,2909747006,215083487,1934989949,5438540794,833287453,4922180429,6504665328,20027811363,2846273467,971543249,46604122525
2011-06-01,2657855190,251841446,2014950715,6868164233,941220932,4719595506,6556652072,22117322845,3184039346,1029041378,50340683663
2011-07-01,3340068672,281929639,2334389993,5509275221,877566152,4745098194,6450990261,21991318003,3268489895,981764735,49780890765
2011-08-01,2811016450,286570219,2058472791,5238545841,743187969,4534743147,6193407536,21578994545,3254942166,849319822,47549200486
2011-09-01,2911267224,257193667,2333682788,5156403574,745579888,4487765642,6247984377,22649930622,3245052033,1008449724,49043309539
2011-10-01,2761123373,283391554,2299435335,5474804280,602754331,4247244313,6439524821,22394257541,3109775265,1327566641,48939877454
2011-11-01,3127201024,284856684,1973593673,5088367178,953138581,4268708621,5983329052,21594879105,3129220984,954405996,47357700898
2011-12-01,3404149851,353418183,2328829751,7189875447,1406685770,4412525963,6371310701,22770002012,3216382119,997958015,52451137812
2012-01-01,2971039482,237374075,1920516424,5870349478,1392958510,3896330597,5596135177,20482879435,2742485827,1189301755,46299370760
2012-02-01,2630514377,279354981,1782182597,6256698550,1248832794,4433633067,5364811292,20020731527,2745745140,1518603226,46281107551
2012-03-01,2898189318,323941272,1898838871,7233501553,790202651,4730431812,6455682762,22816044270,2930636435,1253950739,51331419683
2012-04-01,2858601260,316614262,2216614893,6923910977,870281225,4549584831,6265407878,21874779675,3113912448,1233110211,50222817660
2012-05-01,3026228211,319023943,2236021703,8396904144,954763522,5059362641,6679177014,23079044521,3257481084,1158555007,54166561790
2012-06-01,3055428468,322099324,2376452646,6650443923,932175573,4653550917,6800591045,22566083062,3402741147,1010946183,51770512288
2012-07-01,2867958287,333419022,2355533157,8450594784,596526206,4938392539,6926024294,23653708775,3373312024,1008770012,54504239100
2012-08-01,3153499924,301337346,2154511162,5359275961,795264743,4482113337,6208165548,22530395456,3100616935,786395909,48871576321
2012-09-01,3065036894,337582252,2010695522,9452223672,521735622,4617936588,6365074156,22951848378,3034021506,786579595,53142734185
2012-10-01,3254928627,329505339,1994263052,8100707678,442795326,4549574653,6581713083,22226001954,3336751035,870059345,51686300092
2012-11-01,3136884092,331225956,1974853078,6074639714,643027055,4479184468,6013394365,22731366192,3186398718,806629061,49377602699
2012-12-01,3172197844,348611156,1966405627,7277774671,560097757,4157397012,5940279758,21536966879,3190124420,872852553,49022707677
2013-01-01,3024862855,302998617,2208120186,11338780851,574935523,4664072939,6401068973,21331506065,2877518597,1000727958,53724592564
2013-02-01,2521610855,236247035,1585685659,6523770306,511789863,3850392604,6750572708,19122638140,2424169508,727927689,44254804367
2013-03-01,3238917582,286660592,1793267162,8275339146,361495916,4834812106,8846556673,23634262667,2913446634,926753886,55111512364
2013-04-01,3055510130,315164375,1998920609,8498147976,376758659,5053145820,8765275093,22068904744,3049131750,1590296381,54771255537
2013-05-01,3408218954,370611777,2038158000,7046844193,403539310,4976917565,7459318830,22361948650,2934903092,1922029669,52922490040
2013-06-01,2768494653,326805667,2160833449,8319418971,273303599,4744774922,6937207143,22373311979,3061054238,1458013687,52423218308
2013-07-01,3474786840,371437165,2343570109,8351662435,443818453,5552681224,7341462461,24813307299,3420561348,1750684917,57863972251
2013-08-01,3288452427,314144869,1819919207,10944788199,201308101,5183312919,6445729319,23743502454,2915575432,932038724,55788771651
2013-09-01,3472837175,399656500,1768794810,8162464592,186045519,5147537482,6653247217,24445362355,3121220997,1242086644,54599253291
2013-10-01,3548012463,390700869,1828496380,11347329033,259807463,5462244820,6760541332,24439174971,3482966320,1042409381,58561683032
2013-11-01,3445566368,355696789,2161420402,7247640073,223647508,5040956911,6532782350,23181128126,3379767400,954944348,52523550275
2013-12-01,3610089732,399164789,2181058482,8966177407,300695071,4904721465,6480083492,24762929015,3505552919,1039297255,56149769627
2014-01-01,3861978956,335604455,2106699906,11741844537,310710183,5103644989,6625772055,23129636070,3211391081,1182230684,57609512916
2014-02-01,3085466347,308898066,1496978751,9086068169,209041428,4870597268,5666160524,20012998451,2835908909,905853205,48477971118
2014-03-01,3359734415,323366763,2020801824,9197259865,241292877,5496105583,6750618697,23315623321,3490295284,1233308770,55428407399
2014-04-01,3245695902,417205344,1962928227,9694705739,466906242,6047320545,7308020640,23433474873,3683703260,1228380258,57488341030
2014-05-01,3812961160,366439239,1894053222,10324656673,457648603,5875399169,7375840423,24022712158,3582751317,1450344594,59162806558
2014-06-01,3620084671,299348754,1768863801,10301380704,424545124,5525966483,6863969100,23701406979,3451340566,1163446957,57120353139
2014-07-01,3370290533,329418578,1993645848,10616958115,339945235,5624084914,7653601782,22989989445,3518436017,1040156350,57476526817
2014-08-01,3877515677,337911692,1829826698,9343946217,289703894,5675597877,7840833779,26091617744,3427450034,1305347309,60019750921
2014-09-01,3322208566,345171301,1811696473,8017182093,282867713,5417956679,8022541961,23365235048,3369953109,1238711371,55193524314
2014-10-01,3885595069,290882455,1917954255,11241694659,516465314,5599513060,7801954808,27706409259,3625355872,1317834055,63903658806
2014-11-01,3342400973,337841596,1448381575,6945013292,390948829,5384235381,7323639698,22826961570,3516443696,1083237527,52599104137
2014-12-01,3858698029,357237229,1739750710,8365756823,591055381,5372099974,8185914695,24951513207,4061001480,974162624,58457190152
2015-01-01,3775777748,355399766,1952102777,5503082027,583030967,5329661564,8609461055,24072466390,3595473247,864829603,54641285144
2015-02-01,3255047678,385036581,1554076967,7420150708,511774767,4937575058,6202944948,20519369385,2877526241,980469545,48643971878
2015-03-01,3562183291,361692681,2081300606,7717057460,785017024,6177612115,7564578673,25195133013,3686286880,1476226198,58607087941
2015-04-01,3570287439,374389259,1573065892,5948597572,399428976,5548208900,7672763473,23505263745,3901315270,1214399851,53707720377
2015-05-01,3586721496,311635590,1605502313,7001784460,527465373,5741547254,6984495292,23871559899,4316426243,1129756640,55076894560
2015-06-01,3671422585,329949750,1870921921,6507178423,604765253,6215224669,7692556694,23798759568,4556013806,1252162909,56498955578
2015-07-01,3563165260,378932333,1880382600,10124611644,620993908,5890077502,7776653179,25225324199,4167238034,1202968652,60830347311
2015-08-01,3660877845,353298139,1833804411,7332560837,471687868,5662256545,7328035262,24332912766,3965104826,1392143373,56332681872
2015-09-01,4048832938,379819480,2096047376,6880116581,398751942,6030273480,7729282866,27130610001,4611456737,1198184791,60503376192
2015-10-01,4374691473,472512536,2086326750,8034005776,742211598,6068098378,7906454846,28092063288,4768670977,1090750413,63635786035
2015-11-01,3798522070,451431050,1758464014,6359982335,600685688,5866367561,6927888033,25567659379,4745486194,1308451126,57384937450
2015-12-01,4475945042,393565143,2195639286,6318989465,725101810,6269122952,7234213055,25756261270,5256302674,1290252459,59915393156
2016-01-01,4163593028,355824054,2261737932,5126697535,360023490,5864862336,7309680287,25197145419,4511453702,1304186031,56455203814
2016-02-01,3537151419,350364117,1520726406,4814876028,491473035,5318676627,6029133302,22843301028,3662628472,797613663,49365944097
2016-03-01,4143094034,425925199,2072995562,4914321925,537380779,6306570684,6637408035,25208019675,4321211689,824060197,55390987779
2016-04-01,3558230699,444567800,1782984140,4722646615,481757717,6174944035,6755148715,23144452623,4384543022,836354402,52285629768
2016-05-01,3564708145,380303738,1670765609,5360124587,438691909,6345910216,7090335275,26154762547,4740455660,1026558069,56772615755
2016-06-01,3747489443,362069634,2127912683,7160986470,465824465,6514417339,7849585497,26789770288,4941634474,966807074,60926497367
2016-07-01,3444093288,341357241,1745658812,5872505662,347403589,5694331326,6955610986,28817764702,4042001177,706877219,57967604002
2016-08-01,4056947069,324961861,2256493920,5434766556,298163765,6413195896,7935873100,26570383431,4595823956,1158090348,59044699902
2016-09-01,4022059267,381768342,1965571648,7148428113,490654061,6240484108,7766031373,26863347242,4587740629,1002718406,60468803189
2016-10-01,3875609068,351371730,1998404185,6719123667,475340278,5752381283,7259803791,27139494177,4609441445,1271077545,59452047169
2016-11-01,4315024505,395788214,2646412873,7519651618,484751607,6302232102,7833644470,28132074215,5029599497,1198372053,63857551154
2016-12-01,4337812406,419831034,2832201680,7389724376,597535403,6642847692,8499411059,29487190292,5132288010,1492241672,66831083624
2017-01-01,4300048596,284163180,2826151041,7908320634,768045209,6454848520,7616513745,29183744057,5001577949,1096142284,65439555215
2017-02-01,4044910324,304244781,2918849677,10852317466,705990959,6428561698,7175566128,25304863570,4118514066,1204702570,63058521239
2017-03-01,4750126246,298901226,3249313644,9127522995,693496717,7918384779,8706214490,35875830654,5199407441,1421098293,77240296485
2017-04-01,4080441338,268974542,2511947375,8255185739,592758179,7071692972,7809579993,28531484672,4693292577,1395377506,65210734893
2017-05-01,4804254630,280790226,2644549193,9928357156,555758686,7930964374,8701406548,30976341969,5454387331,1696614450,72973424563
2017-06-01,4009886913,213487314,2490615549,6658286588,450654280,6540684491,7914481074,28248811843,4735613317,1364873167,62627394536
2017-07-01,4051405563,310594542,2866327916,9553551746,491918287,7146680132,8406933614,31021004036,5057763277,1683398288,70589577401
2017-08-01,4487166439,318129593,2647710025,8578871384,551404303,7585583865,8240173242,33086650787,5090380531,1526932818,72113002987
2017-09-01,3850459543,335979812,2678857132,8296922450,495498155,7116830597,8502452098,32105141511,4935661539,1332591698,69650394535
2017-10-01,4524254531,333495148,2928731050,9723918383,397457613,7274413102,8162653890,31915645295,5201296722,1389268290,71851134024
2017-11-01,4440072901,358931432,2762233233,9367731696,573626841,7554642879,8796660913,32832109021,5420143887,1445735610,73551888413
2017-12-01,3945192926,378090405,3162037420,8556622729,496225625,7193969949,8003864299,33776386714,4997537469,1606330364,72116257900
2018-01-01,4492156449,191934007,3195204476,9628965231,529093877,7668639206,8964745875,32337411265,4901372171,1291796192,73201318749
2018-02-01,3604423679,242215471,2721575220,7922642001,418740640,6715597173,7470944399,26917551941,4316477115,1086613672,61416781311
2018-03-01,4046419045,248858255,2932534154,8739670084,470669505,7658208724,8411495754,31298887159,4403210009,1686736773,69896689462
2018-04-01,4127306143,246506184,2877099900,10718126796,529794460,7641744307,8051411390,30893848431,4730622634,1557045429,71373505674
2018-05-01,4172719735,326737490,2957314806,12055919843,434175038,7900850470,8463288912,31424316554,4764617670,1539665006,74039605524
2018-06-01,4210616906,284520528,2987937477,9670856392,562820913,7905336944,9028427685,31322306719,5319650819,1453759649,72746234032
2018-07-01,4122567655,313383400,3464708090,11268214736,556762875,8497736745,9143150514,33991808095,5377255608,1613557713,78349145431
2018-08-01,4462932119,358518655,2933860282,10216460630,608935827,8479406867,9672972839,36708295584,5729951099,1364747113,80536081015
2018-09-01,4070600538,325744316,3062203935,9073869310,551836616,8055509409,7988253183,28758890300,4734541411,1149489998,67770939016
2018-10-01,4293741010,417127623,3012958069,14451706643,700898672,8658488996,8846039221,33619006749,5121568584,1148930037,80270465604
