date,my_total_export,my_total_import,er,rbeer,world_export,trade_balance
2000-01-01,6.6924623234210525,5.479821853421053,3.8,95.15,478.638095456,1.2126404699999993
2000-02-01,7.179782699473685,5.807194310526316,3.8,96.44,503.130262357,1.372588388947369
2000-03-01,8.418064681052632,6.574966639736842,3.8,96.06,554.571560068,1.8430980413157902
2000-04-01,7.605977298157895,6.710651324210526,3.8,96.09,508.309506332,0.8953259739473687
2000-05-01,7.965655889736842,6.8505672013157906,3.8,97.98,540.215627339,1.1150886884210518
2000-06-01,8.358575262631579,7.10323016,3.8,96.83,562.447694913,1.255345102631579
2000-07-01,8.606518494736843,7.541454547631579,3.8,97.65,534.365734511,1.0650639471052639
2000-08-01,8.94939724131579,7.655132315526315,3.8,97.8,534.480867846,1.2942649257894745
2000-09-01,9.195039568947369,7.563806951578948,3.8,98.14,560.872545712,1.631232617368421
2000-10-01,8.676799887894738,7.179293949473684,3.8,99.61,583.312605657,1.497505938421054
2000-11-01,8.625936795526316,7.043549815,3.8,100.09,569.261624441,1.5823869805263158
2000-12-01,7.95482025131579,6.4531910018421055,3.8,100.41,550.265081332,1.5016292494736847
2001-01-01,7.382872918947369,6.582708486052632,3.8,100.69,527.825383494,0.8001644328947366
2001-02-01,7.482889732894737,5.842673257894737,3.8,101.05,519.116072779,1.640216475
2001-03-01,7.785599184473685,6.6911136555263155,3.8,102.49,577.826162448,1.0944855289473692
2001-04-01,7.19305877,6.016689171052632,3.8,103.69,515.265304257,1.1763695989473684
2001-05-01,7.376400765263158,6.110405459210527,3.8,103.53,531.735356381,1.2659953060526314
2001-06-01,7.214904685789475,6.366055886842106,3.8,104.13,523.435240833,0.848848798947369
2001-07-01,7.085153188421053,5.9389906426315795,3.8,104.67,504.924598446,1.1461625457894735
2001-08-01,7.280291306578948,5.842437203684211,3.8,102.15,498.100875146,1.437854102894737
2001-09-01,7.24548467868421,5.851703883684211,3.8,101.55,505.888887984,1.3937807949999996
2001-10-01,7.554764103839372,6.413842619931054,3.8001,102.67,544.6124871979999,1.1409214839083184
2001-11-01,7.455241675526316,6.408623876578948,3.8,104.31,511.079379986,1.0466177989473682
2001-12-01,6.912565084736842,5.679085236052631,3.8,105.14,472.864954718,1.233479848684211
2002-01-01,7.188665299473684,6.061301710789474,3.8,106.49,472.342504144,1.1273635886842106
